species	Subtype	Signature
Lactobacillus agilis	Ligilactobacillus	LS1
Lactobacillus ruminis	Ligilactobacillus	LS1
Lactobacillus salivarius	Ligilactobacillus	LS1
Lactobacillus fermentum	Limosilactobacillus	LS2
Lactobacillus mucosae	Limosilactobacillus	LS2
Lactobacillus oris	Limosilactobacillus	LS2
Lactobacillus panis	Limosilactobacillus	LS2
Lactobacillus pontis	Limosilactobacillus	LS2
Lactobacillus reuteri	Limosilactobacillus	LS2
Lactobacillus vaginalis	Limosilactobacillus	LS2
Lactobacillus acidophilus	Lactobacillus	LS3
Lactobacillus amylovorus	Lactobacillus	LS3
Lactobacillus crispatus	Lactobacillus	LS3
Lactobacillus delbrueckii	Lactobacillus	LS3
Lactobacillus gasseri	Lactobacillus	LS3
Lactobacillus iners	Lactobacillus	LS3
Lactobacillus johnsonii	Lactobacillus	LS3
Lactobacillus paragasseri	Lactobacillus	LS3
Lactobacillus curvatus	Latilactobacillus	LS3
Lactobacillus sakei	Latilactobacillus	LS3
Lactobacillus farciminis	Companilactobacillus	None
Lactobacillus sanfranciscensis	Fructilactobacillus	None
Lactobacillus pantheris	Lacticaseibacillus	None
Lactobacillus rhamnosus	Lacticaseibacillus	None
Lactobacillus plantarum	Lactiplantibacillus	None
Lactobacillus rogosae	Rogosae	None
