	Shannon	Simpson	Fisher	Chao1
TPMIC03145	0.6987055237669462	0.21755896141199926	0.437020148343394	6.0
TPMIC03131	1.0436694566078801	0.4241645164308173	0.22060522987850742	3.0
TPMIC03126	1.2725946595192537	0.5153081433435497	0.3544404620375047	6.0
TPMIC03125	0.40390119190416196	0.14802167169954172	0.1550269582251123	2.0
TPMIC03121	1.9907762422159774	0.690532198262863	0.4450309168051927	5.0
TPMIC03110	2.1234309178998703	0.7348264571748903	0.32903302756921354	5.0
TPMIC03109			2.6180339603380443	0.0
TPMIC03108	1.9527290564146451	0.7336357390625816	0.2429553043066495	4.0
TPMIC03104	2.0603300982388544	0.6744825452824061	0.6436455139175992	9.0
TPMIC03103	1.5042125227414447	0.5136067725978561	0.5522808641478014	9.0
TPMIC03100	0.2634077648810101	0.07651851028031731	0.19745923723131253	3.0
TPMIC03099	1.8863965155753153	0.6756797028405361	0.4335490835789971	6.0
TPMIC03097	0.7084754356073407	0.2731403044100482	0.1962506152132682	3.0
TPMIC03096	1.9381870035351576	0.6910510208053462	0.47110632589164647	6.0
TPMIC03094	1.0110951891411357	0.42427696143465154	0.26005960932617944	4.0
TPMIC03092	1.5841691704978331	0.6548004744416582	0.27338993527791333	4.0
TPMIC03091	1.49161740878509	0.5520971149626344	0.33169002313384255	5.0
TPMIC03089	0.5420897764752066	0.18443437603164115	0.2087247838208505	3.0
TPMIC03087	0.4950203408304662	0.1525648752186508	0.2687955850887902	5.0
TPMIC03084	0.7058456817061268	0.2450500131526986	0.4305763226787348	7.0
TPMIC03083	0.687950984720282	0.23517914076604496	0.24352277481718837	4.0
TPMIC03082	0.9861284660853852	0.4362833705081848	0.28278294550090655	4.0
TPMIC03078	1.4399896324750632	0.5405099131750166	0.2854829364332449	4.0
TPMIC03075	1.3965907192583662	0.5731430023309623	0.22165095072942365	3.0
TPMIC03073	0.9993250113884722	0.49953220651790176	0.1142093440823819	2.0
TPMIC03072	2.1687126130775307	0.7295468971830017	0.4838363633230331	6.0
TPMIC03071	1.827457595432926	0.6562092764073917	0.5146164264432702	7.0
TPMIC03070	-0.0	0.0	0.05351345201296228	1.0
TPMIC03069	0.29646455057551935	0.08213224985035494	0.28569449890301696	5.0
TPMIC03068	1.4431597583754605	0.5633397968055038	0.42425523713580393	6.0
TPMIC03066	0.40459834044107407	0.13129703978696805	0.2049666506926659	3.0
TPMIC03064	1.3901806866273159	0.5192976133715991	0.3359860215485244	4.0
TPMIC03059	0.8454315824975907	0.3838869418288511	0.30999849141096864	5.0
TPMIC03057	1.330626930392914	0.5189419527332857	0.30519384859631266	5.0
TPMIC03055	0.2262030491930551	0.064806562122521	0.23183230873269903	3.0
TPMIC03054	1.5891065776869504	0.6611894441391539	0.2649633827542299	4.0
TPMIC03051	0.029231104050725182	0.005926757057346688	0.11133037036167977	2.0
TPMIC03049	0.8059042196640226	0.3716143590634091	0.10292240143968123	2.0
TPMIC03045	1.5476269793924218	0.6172799459866937	0.362141157071663	4.0
TPMIC03044	1.068712323002018	0.4577370463235618	0.2185186389898644	3.0
TPMIC03042	0.7033019722602679	0.29733227451489264	0.22750095839444873	4.0
TPMIC03041	1.2690056430866188	0.5547417949702916	0.19186484633231704	3.0
TPMIC03040	0.7255682327559795	0.2702914042860325	0.15980497015513467	3.0
TPMIC03038	0.23351234213124317	0.06338999183670357	0.23341668699976384	4.0
TPMIC03037	0.9848653713896838	0.43698653032054147	0.2076843605412377	3.0
TPMIC03035	0.9702283225124276	0.47950619142609807	0.197707489161146	2.0
TPMIC03034	1.462155414126949	0.5703339417591962	0.22898281846602864	4.0
TPMIC03033	0.07829214136021868	0.016680027402105724	0.1772620027759478	3.0
TPMIC03032	1.2242474989622103	0.47538258103377895	0.2717257864824114	4.0
TPMIC03031	0.7801171593584815	0.27860206409082866	0.17508174475166777	3.0
TPMIC03030	1.853659616204618	0.5939643984308252	0.4940203348868662	7.0
TPMIC03029	2.141229989442348	0.7247713786440199	0.5626939812921269	8.0
TPMIC03025	0.8543331976815993	0.33488817750742594	0.23334975446345493	4.0
TPMIC03022	2.170285086659767	0.757876087548211	0.3695188014900898	5.0
TPMIC03021	0.6654766314885806	0.27457985794816053	0.18736774950150317	3.0
TPMIC03020	0.2398302944330338	0.06938613969183838	0.17720386290964446	3.0
TPMIC03019	1.6901304484757007	0.6118209539602344	0.3734205490756891	5.0
TPMIC03018	1.2390571516945856	0.5348015738391825	0.27824099972464356	4.0
TPMIC03015	0.4378045675535872	0.13510910295591827	0.1879958477942514	3.0
TPMIC03012	1.4072081664479037	0.5885242502501011	0.21444463451066248	3.0
TPMIC03011	0.770859194921932	0.21371403068599915	0.653491497552224	10.0
TPMIC03010	0.9590261431700131	0.3118743447130854	0.34950828463176387	5.0
TPMIC03009	1.5464168642023384	0.6498603347502765	0.23993876550050566	3.0
TPMIC03007	0.41747417291871297	0.12381737875906829	0.3010614761228729	4.0
TPMIC03006	2.0558577932042774	0.7023009657074928	0.6946238580064313	10.0
TPMIC03005	1.9099844210799404	0.7031112611581376	0.5180207614226712	8.0
TPMIC03002	1.3387431247900037	0.5255611032515466	0.2589223282817757	4.0
TPMIC01293	0.6410647377858669	0.22840747146083118	0.23038096574273642	4.0
TPMIC01292	1.4278377411094592	0.6047316337391738	0.18533910164536285	3.0
TPMIC01291	0.5573874679890856	0.22400358312802193	0.1714001203750245	3.0
TPMIC01289	0.5151910208185005	0.19143009855113868	0.2292450522672939	4.0
TPMIC01287	0.19324771846898722	0.05777146600381089	0.13409900012190126	2.0
TPMIC01284	0.04918657432738128	0.010936512080028438	0.1432689492262231	2.0
TPMIC01283	1.9459249883053187	0.7045819343858519	0.43543495298336565	6.0
TPMIC01282	1.4318463824133816	0.5878770240136819	0.292615760790281	4.0
TPMIC01281	0.9359483890549573	0.45626383921416713	0.14354338695775773	2.0
TPMIC01280	1.5674868001216211	0.648461764317567	0.2890675727704385	5.0
TPMIC01279	-0.0	0.0	0.09641521030917298	1.0
TPMIC01278	0.8816773615923541	0.35858057187743786	0.30862974427781303	5.0
TPMIC01277	2.2287032443245405	0.7494787817072334	0.4641503957235578	6.0
TPMIC01276	1.548669149987079	0.557899678990621	0.3816673670778608	5.0
