	TPMIC01002	TPMIC01004	TPMIC01005	TPMIC01006	TPMIC01007	TPMIC01008	TPMIC01009	TPMIC01010	TPMIC01011	TPMIC01015	TPMIC01016	TPMIC01018	TPMIC01020	TPMIC01023	TPMIC01028	TPMIC01029	TPMIC01034	TPMIC01043	TPMIC01046	TPMIC01052	TPMIC01053	TPMIC01055	TPMIC01062	TPMIC01096	TPMIC01118	TPMIC01124	TPMIC01125	TPMIC01126	TPMIC01127	TPMIC01128	TPMIC01129	TPMIC01130	TPMIC01134	TPMIC01144	TPMIC01145	TPMIC01147	TPMIC01153	TPMIC01158	TPMIC01160	TPMIC01164	TPMIC01167	TPMIC01186	TPMIC01187	TPMIC01190	TPMIC01191	TPMIC01198	TPMIC01199	TPMIC01200	TPMIC01212	TPMIC01220	TPMIC01225	TPMIC01226	TPMIC01228	TPMIC01229	TPMIC01234	TPMIC01235	TPMIC01242	TPMIC01250	TPMIC01251	TPMIC01256	TPMIC01259	TPMIC01271	TPMIC01274	TPMIC01277	TPMIC01278	TPMIC01282	TPMIC01284	TPMIC01291	TPMIC03005	TPMIC03007	TPMIC03009	TPMIC03010	TPMIC03012	TPMIC03018	TPMIC03019	TPMIC03020	TPMIC03022	TPMIC03030	TPMIC03032	TPMIC03033	TPMIC03034	TPMIC03041	TPMIC03042	TPMIC03051	TPMIC03055	TPMIC03057	TPMIC03059	TPMIC03064	TPMIC03068	TPMIC03069	TPMIC03071	TPMIC03073	TPMIC03075	TPMIC03078	TPMIC03082	TPMIC03087	TPMIC03089	TPMIC03091	TPMIC03092	TPMIC03094	TPMIC03096	TPMIC03097	TPMIC03099	TPMIC03104	TPMIC03121	TPMIC03125	TPMIC03126	TPMIC03145
k__Archaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0607	0.0	0.0	0.00326	0.0	0.0	0.0	0.0	0.0	0.0	0.23135	0.0	0.02307	0.0	0.0	0.0	0.09261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00363	0.0	0.0785299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02131	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0607	0.0	0.0	0.00326	0.0	0.0	0.0	0.0	0.0	0.0	0.23135	0.0	0.02307	0.0	0.0	0.0	0.09261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00363	0.0	0.0785299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02131	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0607	0.0	0.0	0.00326	0.0	0.0	0.0	0.0	0.0	0.0	0.23135	0.0	0.02307	0.0	0.0	0.0	0.09261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00363	0.0	0.0785299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02131	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0607	0.0	0.0	0.00326	0.0	0.0	0.0	0.0	0.0	0.0	0.23135	0.0	0.02307	0.0	0.0	0.0	0.09261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00363	0.0	0.0785299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02131	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0607	0.0	0.0	0.00326	0.0	0.0	0.0	0.0	0.0	0.0	0.23135	0.0	0.02307	0.0	0.0	0.0	0.09261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00363	0.0	0.0785299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02131	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0607	0.0	0.0	0.00326	0.0	0.0	0.0	0.0	0.0	0.0	0.23135	0.0	0.02307	0.0	0.0	0.0	0.09261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00363	0.0	0.0785299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02131	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21332	0.0	0.00909	0.0	0.0	0.0	0.05309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0785299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01388	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21332	0.0	0.00909	0.0	0.0	0.0	0.05309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0785299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01388	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00326	0.0	0.0	0.0	0.0	0.0	0.0	0.01803	0.0	0.01399	0.0	0.0	0.0	0.03952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00743	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
