	Lactobacillus signature1	Lactobacillus signature2	Lactobacillus signature3
Lactobacillus_subtype	0.01896026444412542	0.00014680202415130034	8.002778128489827e-06
Ligilactobacillus_subtype	1.1043435980921904e-05	1.4847627757962022e-05	0.018969450433504922
Lactobacillus_others	2.744208608643089e-07	2.220446049250313e-16	1.748818835039592e-05
Latilactobacillus_subtype	0.00032495608814763947	2.220446049250313e-16	3.883317295626893e-05
Companilactobacillus_subtype	2.220446049250313e-16	3.4541955387734635e-07	1.0104214300545425e-07
Limosilactobacillus_subtype	0.000858453788334406	0.012941447458406165	0.00024390646677132616
Lacticaseibacillus_subtype	2.220446049250313e-16	2.538625186447757e-06	2.220446049250313e-16
Lactiplantibacillus_subtype	2.5973440795863786e-05	2.220446049250313e-16	2.220446049250313e-16
Rogosae_subtype	2.220446049250313e-16	0.0014606072532105912	2.220446049250313e-16
Fructilactobacillus_subtype	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
